,priority_pollutant_type,registration_number_of_the_contaminated_site_in_the_register,location_of_the_contaminated_site,administrative_region,longitude,latitude,land_category_before_pollution,сontaminated_site_area_hectares,the_level_of_oil_pollution_of_soils_and_lands_mg_kg,level_of_oil_products_in_bottom_sediments_of_water_mg_kg_and_on_surface_waters_mg_cubic_dm,date_of_last_spill
91,нефтепродукты,ЛУК-2020-4,Нефтепровод от К-53 до т.вр. (уч. 3),Советский,61.30552222222222,64.40539722222223,земли лесного фонда,0.0126,-,-,2020-08-19 00:00:00
93,нефтепродукты,ЛУК-2019-17,район скв. 330,Кондинский,64.76803333333334,60.69036666666666,земли лесного фонда,0.0167,-,-,2019-08-27 00:00:00
95,подтоварная вода,ЛУК-2019-18,высоконапорном водоводе «КНС-1 ДНУ-Мулымья»,Кондинский,64.49980555555555,60.20825,земли лесного фонда,0.0352,-,-,2019-07-28 00:00:00
96,подтоварная вода,ЛУК-2019-19,В/водовод КНС-1 ДНУ Мулымья (ДНУ-УПСВ Сухой бор),Кондинский,64.57158333333334,60.18103055555555,земли лесного фонда,0.003,-,-,2019-11-05 00:00:00
98,нефтепродукты,ЛУК-2020-5,"Район ЗУ-70,71",Кондинский,60.38894444444444,64.95544444444445,земли лесного фонда,0.0058,-,-,2020-06-11 00:00:00
99,нефтепродукты,ЛУК-2020-6,"Район ЗУ-70,71 (уч. 2)",Кондинский,60.389361111111114,64.95530555555555,земли лесного фонда,0.0004,-,-,2020-06-11 00:00:00
100,нефтепродукты,ЛУК-2020-7,"район скв. 424, 425",Кондинский,60.30271111111111,64.84424444444444,земли лесного фонда,0.0081,-,-,2020-07-16 00:00:00
107,нефть,РИТЭК-2019-1,1000м от АГЗУ куста №6,Октябрьский,65.49541944444445,62.40953611111111,земли лесного фонда,0.551,-,-,"16-20, 17.03.2019"
108,нефть,РИТЭК-2019-2,1300м от АГЗУ куста №6,Октябрьский,65.48905,62.40818055555555,земли лесного фонда,0.063,-,-,"17-55, 17.03.2019"
109,нефть,РИТЭК-2019-3,900м от АГЗУ куста №6,Октябрьский,65.4742138888889,62.410691666666665,земли лесного фонда,0.159,-,-,11-00 14.02.2019
110,нефть,РИТЭК-2019-4,800м от АГЗУ куста №6,Октябрьский,65.48451666666666,62.40724722222222,земли лесного фонда,0.769,-,-,10-00 18.01.2019
