,priority_pollutant_type,registration_number_of_the_contaminated_site_in_the_register,location_of_the_contaminated_site,administrative_region,longitude,latitude,land_category_before_pollution,сontaminated_site_area_hectares,the_level_of_oil_pollution_of_soils_and_lands_mg_kg,level_of_oil_products_in_bottom_sediments_of_water_mg_kg_and_on_surface_waters_mg_cubic_dm,date_of_last_spill
10636,нефть,РН-СНГ-2020-251,"Линейный нефтесбор кустовой площадки 2483 - точка врезки кустовой площадки 2480, в 150 м от задвижки № 188, Самотлорское месторождение нефти, ЦДНГ-7, ДНС-32",Нижневартовский,76.516205,61.44405,земли лесного фонда в долгосрочной аренде,0.0696,Отбор проб не производился,-,2020-06-04 00:00:00
10637,нефть,РН-СНГ-2020-252,"Линейный нефтесбор кустовой площадки 1578 - точка врезки в нефтесбор кустовой площадки 1585, инцидент в 6м до секущей задвижки №63, Самотлорское месторождение нефти, ЦДНГ-7, ДНС-32",Нижневартовский,76.651335,61.434385,"земли лесного фонда, земли промышленности",0.0094,Отбор проб не производился,-,2020-06-07 00:00:00
10638,нефть,РН-СНГ-2020-253,"Линейный нефтесбор точка врезки кустовой площадки 2483 - точка врезки кустовой площадки 2134, инцидент в 70м от секущей задвижки  №183, Самотлорское месторождение нефти, ЦДНГ-7, ДНС-32",Нижневартовский,76.533318,61.437015,"земли лесного фонда в долгосрочной аренде, земли промышленности, земли лесного фонда",0.289,Отбор проб не производился,-,2020-06-08 00:00:00
10639,нефть,РН-СНГ-2020-254,"Линейный нефтесбор кустовой площадки 1591- точка врезки кустовой площадки 1600, инцидент в 100м от точки врезки кустовой площадки 2432, Самотлорское месторождение нефти, ЦДНГ-7, ДНС-32",Нижневартовский,76.684754,61.4299,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0693,Отбор проб не производился,-,2020-06-10 00:00:00
10640,нефть,РН-СНГ-2020-255,"Линейный нефтесбор от точки врезки кустовой площадки  908 до ДНС-24, в 100 м от секущей задвижки №60, Самотлорское месторождение нефти, ЦДНГ-7, ДНС-24",Нижневартовский,76.612551,61.37147,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.1217,Отбор проб не производился,-,2020-07-02 00:00:00
10641,нефть,РН-СНГ-2020-256,"Линейный нефтесбор кустовой площадки  1593Б предварительная гребенка, в 8м от кустовой площадки 1593А, Самотлорское месторождение нефти, ЦДНГ-7, ДНС-32",Нижневартовский,76.640333,61.459879,земли промышленности,0.0062,Отбор проб не производился,-,2020-07-03 00:00:00
10642,нефть,РН-СНГ-2020-257,"Линейный нефтесбор кустовой площадки  356, точка врезки в нефтесбор  кустовой площадки 352, в 450м от кустовой площадки 356, Самотлорское месторождение нефти, ЦДНГ-7, КСП-14",Нижневартовский,76.806692,61.276971,земли промышленности,0.0034,Отбор проб не производился,-,2020-07-08 00:00:00
10643,нефть,РН-СНГ-2020-258,"Линейный нефтесбор кустовой площадки 2501 -УПСВ-1, в 600м отсекущей  задвижки №446, Самотлорское месторождение нефти, ЦДНГ-7, УПСВ-1",Нижневартовский,76.513359,61.527164,"земли лесного фонда в долгосрочной аренде, земли промышленности, земли лесного фонда",0.2292,Отбор проб не производился,-,2020-07-24 00:00:00
10644,нефть,РН-СНГ-2020-259,"Линейный нефтесбор точка врезки кустовой площадки 1500 - КСП-14, в 120м до секущей задвижки №19, Самотлорское месторождение, ЦДНГ-7, КСП-14",Нижневартовский,76.832146,61.297815,"земли лесного фонда в долгосрочной аренде, земли промышленности ",0.1366,Отбор проб не производился,-,2020-08-04 00:00:00
10645,нефть,РН-СНГ-2020-260,"линейный нефтесбор кустовой площадки 580 – точка врезка кустовой площадки 352, в 700 м до точки врезки кустовой площадки 580, Самотлорское месторождение, ЦДНГ-7, КСП-14",Нижневартовский,76.852738,61.26283,земли промышленности,0.0199,Отбор проб не производился,-,2020-09-01 00:00:00
10646,нефть,РН-СНГ-2020-261,"линейный нефтесбор кустовой площадки 580 точка врезки  кустовой площадки 352, в 250 м от кустовой площадки 580, Самотлорское месторождение, ЦДНГ-7, КСП-14.",Нижневартовский,76.856487,61.264277,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0609,Отбор проб не производился,-,2020-09-24 00:00:00
10647,нефть,РН-СНГ-2020-262,"линейный нефтесбор кустовая площадка 580 – точка врезка в нефтесбор кустовой площадки 352, в 190 м от к.580, Самотлорское месторождение, ЦДНГ-7, КСП-14",Нижневартовский,76.856797,61.26436,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0181,Отбор проб не производился,-,2020-09-25 00:00:00
10648,нефть,РН-СНГ-2020-263,"линейный нефтесбор точка врезки кустовой площадки 1500 – КСП-14, в районе котельной КСП-14, Самотлорское месторождение, ЦДНГ-7, КСП-14",Нижневартовский,76.831279,61.297436,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0523,Отбор проб не производился,-,2020-09-27 00:00:00
10649,подтоварная вода,РН-СНГ-2020-264,"линейный водовод кустовой площадки 2518, в 130м от точки врезки кустовой площадки 2502, Самотлорское месторождение, ЦДНГ-7, УПСВ-1",Нижневартовский,76.460197,61.5834,"земли лесного фонда в долгосрочной аренде, земли лесного фонда ",0.0481,Отбор проб не производился,-,2020-10-07 00:00:00
10650,нефть,РН-СНГ-2020-265,"линейный нефтесбор кустовой площадки  2510 до врезки в нефтесбор кустовой площадки 2147, в 0,5 м до секущей задвижки №8, Самотлорское месторождение, ЦДНГ-7, ДНС-32",Нижневартовский,76.620146,61.499548,земли лесного фонда в долгосрочной аренде,0.0428,Отбор проб не производился,-,2020-10-08 00:00:00
10651,нефть,РН-СНГ-2020-266,"линейный нефтесбор кустовая площадка 1602 до точки врезки в нефтесбор кустовой площадки 1577, в 200 м до задвижки 121, Самотлорское месторождение, ЦДНГ-7, ДНС-32",Нижневартовский,76.729008,61.437416,земли промышленности,0.001,Отбор проб не производился,-,2020-10-10 00:00:00
10652,нефть,РН-СНГ-2020-267,"линейный нефтесбор от точки врезки кустовой площадки 1577 до ДНС-32, район куста 1577, Самотлорское месторождение, ЦДНГ-7, ДНС-32   ",Нижневартовский,76.681176,61.419492,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0991,Отбор проб не производился,-,2020-10-17 00:00:00
10653,нефть,РН-СНГ-2020-268,"нефтесбор кустовая площадка 2516 – УПСВ-1, район куста 2501, Самотлорское месторождение, ЦДНГ-7, УПСВ-1",Нижневартовский,76.500887,61.533372,земли лесного фонда в долгосрочной аренде,0.0793,Отбор проб не производился,-,2020-11-13 00:00:00
10654,нефть,РН-СНГ-2020-269,"линейный нефтесбор кустовая площадка 580 – точка врезки в нефтесбор кустовой площадки 352,  в 800 м. от точки врезки кустовой площадки 580, Самотлорское месторождение, ЦДНГ-7, КСП-14",Нижневартовский,76.850728,61.262054,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0565,Отбор проб не производился,-,2020-11-27 00:00:00
10655,нефть,РН-СНГ-2020-270,"линейный нефтесбор кустовая площадка 1662 – точка врезки в основной, район куста 1663, Самотлорское месторождение, ЦДНГ-7, ДНС-32",Нижневартовский,76.647266,61.40952,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0264,Отбор проб не производился,-,2020-12-09 00:00:00
10656,нефть,РН-СНГ-2020-271,"линейный нефтесбор кустовая площадка 2139 – точка врезки кустовой площадки 904, в 50 м. от АГЗУ кустовой площадки 2139, Самотлорское месторождение, ЦДНГ-7, ДНС-32",Нижневартовский,76.54818,61.386251,земли промышленности,0.0012,Отбор проб не производился,-,2020-12-11 00:00:00
10657,нефть,РН-СНГ-2020-272,"линейный нефтесбор кустовая площадка 2143 – точка врезки в нефтесбор кустовой площадки 2489,  район куста 2143, Самотлорское месторождение, ЦДНГ-7, ДНС-32",Нижневартовский,76.597191,61.47137,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0066,Отбор проб не производился,-,2020-12-12 00:00:00
10658,нефть,РН-СНГ-2020-273,"линейный нефтесбор от точки врезки кустовой площадки 1500 до КСП-14, в 120 м от точки врезки кустовой площадки 332, Самотлорское месторождение, ЦДНГ-7, КСП-14",Нижневартовский,76.832247,61.299126,"земли лесного фонда в долгосрочной аренде, земли промышленности, земли лесного фонда",0.1555,Отбор проб не производился,-,2020-12-14 00:00:00
10659,нефть,РН-СНГ-2020-274,"линейный нефтесбор от кустовой площадки 908 до ДНС-24, в 220 м от точки врезки кустовой площадки 1534, Самотлорское месторождение, ЦДНГ-7, ДНС-24",Нижневартовский,76.65527,61.378908,"земли промышленности, земли лесного фонда",0.2682,Отбор проб не производился,-,2020-12-23 00:00:00
10660,нефть,РН-СНГ-2020-291,"Линейный нефтесбор кустовой площадки 1569 - точка врезки в нефтесбор кустовой площадки 1585, в 100 м от кустовой площадки 2433, Самотлорское месторождение, ЦДНГ-7, ДНС-32.",Нижневартовский,76.664789,61.430008,земли лесного фонда в долгосрочной аренде,0.1682,Отбор проб не производился,-,25.01.2020           18.07.2020           29.10.2020
10661,нефть,РН-СНГ-2020-294,"Линейный нефтесбор точка врезки кустовой площадки 2487 – точка врезки кустовой площадки 2483,в 20 м. от секущей задвижки № 171, Самотлорское месторождение, ЦДНГ-7, УПСВ-1",Нижневартовский,76.508945,61.440976,"земли лесного фонда в долгосрочной аренде, земли лесного фонда",0.4987,Отбор проб не производился,-,31.01.2020              28.02.2020
10662,нефть,РН-СНГ-2020-295,"линейный нефтесбор кустовая площадка 884 – точка врезки кустовой площадки 2162, инцидент в 200 м до точки врезки кустовой площадки 884, Самотлорское месторождение, ЦДНГ-7, ДНС-24",Нижневартовский,76.630211,61.318497,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.3326,Отбор проб не производился,-,25.03.2020       09.04.2020
10663,нефть,РН-СНГ-2020-297,"Линейный нефтесбор точка врезки кустовой площадки 908 - ДНС-24, инцидент в 30 м до точки врезки кустовой площадки 913, Самотлорское месторождение нефти, ЦДНГ-7, ДНС-24",Нижневартовский,76.644693,61.379532,"земли лесного фонда в долгосрочной аренде, земли промышленности, земли лесного фонда",0.2142,Отбор проб не производился,-,04.05.2020         15.05.2020
10664,нефть,РН-СНГ-2020-298,"Линейный нефтесбор кустовой площадки 2023 до точки врезки в кустовую площадку 1550, в 20 м от АГЗУ кустовой площадки 2023 А, Самотлорское месторождение нефти, ЦДНГ-7, ДНС-32",Нижневартовский,76.753678,61.337271,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0112,Отбор проб не производился,-,17.05.2020        20.12.2020
10665,нефть,РН-СНГ-2020-299,"Линейный нефтесбор кустовой площадки 2516 – УПСВ-1, в 600м до точки врезки кустовой площадки 2517, Самотлорское месторождение, ЦДНГ-7, УПСВ-1",Нижневартовский,76.443606,61.570721,"земли лесного фонда в долгосрочной аренде, земли лесного фонда",0.054,Отбор проб не производился,-,21.05.2020               21.06.2020          10.10.2020
10666,нефть,РН-СНГ-2020-302,"Самотлорское месторождение, ЦДНГ-7, ДНС-24, линейный нефтесбор кустовая площадка 918Б - точка врезки кустовая площадка 912,  в  2 м до секущей задвижки № 180 за обваловкой кустовой площадки 918Б.",Нижневартовский,76.680091,61.347292,"земли лесного фонда в долгосрочной аренде, земли лесного фонда",0.4379,Отбор проб не производился,-,29.08.2020                        06.09.2020
10667,нефть,РН-СНГ-2020-304,"Линейный нефтесбор точка врезки кустовой площадки 908 - ДНС-24, в 300м до поворота на кустовую площадку1539, Самотлорское месторождение нефти, ЦДНГ-7, ДНС-24",Нижневартовский,76.673256,61.375393,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0846,Отбор проб не производился,-,18.07.2020       19.07.2020     22.09.2020
10668,нефть,РН-СНГ-2020-305,"инцидент на линейном нефтесборе кустовой площадки 2008 до точки врезки кустовой площадки 352, район куста 2008, Самотлорское месторождение, ЦДНГ-7 КСП-14",Нижневартовский,76.807172,61.264393,"земли лесного фонда в долгосрочной аренде, земли лесного фонда",0.5845,Отбор проб не производился,-,22.11.2020              26.11.2020
10670,нефтесодержащая жидкость,РН-СНГ-2013-10585,"рай-н ЦПС, лес",Нижневартовский,77.614807,61.632698,земли лесного фонда,0.0879,Отбор проб не производился,-,нет данных
10671,нефтесодержащая жидкость,РН-СНГ-2013-10605,"рай-н Тюменского м/р, лес",Нижневартовский,77.585508,61.625565,земли лесного фонда,0.0927,Отбор проб не производился,-,нет данных
10672,подтоварная вода,РН-СНГ-2013-10613,Высоконапорный водовод в 400 м от куста № 3 в сторону куста № 11 Тюм.,Нижневартовский,77.59545,61.595087,"земли лесного фонда, земли промышленности",0.004,Отбор проб не производился,-,2013-06-22 00:00:00
10673,нефтесодержащая жидкость,РН-СНГ-2013-10615,Напорный нефпр-д ЦПС Тюм - вр. ЦПС Л-Ёг,Нижневартовский,77.375556,61.543056,"земли лесного фонда, земли промышленности",0.03,Отбор проб не производился,-,2013-08-12 00:00:00
10674,подтоварная вода,РН-СНГ-2013-10616,Низконапорный водовод КНС Тюменка-КНС Гун-Еган,Нижневартовский,77.479625,61.612508,"земли лесного фонда, земли промышленности",0.015,Отбор проб не производился,-,2013-08-26 00:00:00
10675,подтоварная вода,РН-СНГ-2013-10618,Низконапорный водовод в 250 м от т. вр. к 8,Нижневартовский,77.603055,61.661392,"земли лесного фонда, земли промышленности",0.001,Отбор проб не производился,-,2013-12-19 00:00:00
10676,подтоварная вода,РН-СНГ-2013-10619,Высоконапорный водовод в 400 м от куста № 3 в сторону куста № 11 Тюм.,Нижневартовский,77.59536,61.594956,"земли лесного фонда, земли промышленности",0.004,Отбор проб не производился,-,2013-06-22 00:00:00
10677,подтоварная вода,РН-СНГ-2013-10620,Низконапорный водовод в 250 м от т. вр. к 8,Нижневартовский,77.603333,61.661389,"земли лесного фонда, земли промышленности",0.001,Отбор проб не производился,-,2013-12-19 00:00:00
10678,подтоварная вода,РН-СНГ-2014-366,"1,5 м от т.вр.к.5 Тюм. м/р",Нижневартовский,77.595232,61.6639244,земли лесного фонда в долгосрочной аренде,0.0028,Отбор проб не производился,-,2014-10-18 00:00:00
10679,подтоварная вода,РН-СНГ-2015-240,"Тюменское м/р, водовод - к.26, 50 м от к.26, ",Нижневартовский,77.617109,61.646179,земли лесного фонда в долгосрочной аренде,0.0017,Отбор проб не производился,-,19.01.2015; 13:10
10680,нефтесодержащая жидкость,РН-СНГ-2016-237,"промысловый нефтесбор куста 3 - точка врезки к. 10, в 30 м от точки врезки к. 3, Тюменское м/р, ЦДНГ-8",Нижневартовский,77.596858,61.598311,земли лесного фонда в долгосрочной аренде,0.003,Отбор проб не производился,-,23.01.2016; 15:00
10681,нефтесодержащая жидкость,РН-СНГ-2018-722,К-5 ,Нижневартовский,77.597232,61.6667,земли лесного фонда,0.0205,303584,-,-
10682,газовый конденсат,РН-СНГ-2019-256,"газопровод низкого давления ""ДНС Тюменского КС - Тюменская КС"" в 1000 м от ЦПС Тюменская, ЦДНГ-8",Нижневартовский,77.597286,61.628827,"земли лесного фонда, земли промышленности",0.0059,Отбор проб не производился,-,17.08.2019; 07:50
10683,нефть,РН-СНГ-2020-307,"Линейный нефтесбор кустовой площадки 3 - точка врезки кустовой площадки 10, в 57м до точки врезки кустовой площадки  3, Тюменское месторождение нефти, ЦДНГ-8, ЦПС Тюменского месторождения ",Нижневартовский,77.597139,61.598427,земли лесного фонда в долгосрочной аренде,0.0056,Отбор проб не производился,-,2020-07-20 00:00:00
10684,нефть,РН-СНГ-2020-308,"Линейный нефтесбор кустовой площадки 23 - точка врезки кустовой площадки 24, район куста 23, Тюменское месторождение, ЦДНГ-8, ДНС-Тюменская",Нижневартовский,77.548388,61.698039,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0103,Отбор проб не производился,-,2020-08-06 00:00:00
10685,нефть,РН-СНГ-2020-309,"нефтесбор кустовая площадка 2АБ точка врезки в основной ЦПС Тюменского месторождения,  в 20 м. от точки врезки кустовой площадки 2А.Б, ЦДНГ-8",Нижневартовский,77.60448,61.619388,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.2496,Отбор проб не производился,-,2020-11-23 00:00:00
10686,нефть,РН-СНГ-2020-310,"линейный нефтесбор точка врезки  кустовой площадки 2 – ЦПС Тюменское, в 5 м. до секущей задвижки №117, Тюменское месторождение, ЦДНГ-8, ЦПС Тюменская",Нижневартовский,77.612138,61.632509,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.235,Отбор проб не производился,-,24.04.2020   21.06.2020
10688,нефтесодержащая жидкость,РН-СНГ-2015-241,"внутриплощадочный нефпр-д ЦПСН-1, рай-н ЦТП, в 50 м от задвижки № Р-7,  ",Нижневартовский,76.45817,60.975535,земли промышленности,0.062,Отбор проб не производился,-,10.09.2015; 22:05
10694,нефтесодержащая жидкость,РН-КЮ-2013-2,"Узел 1-ДНС 1, в 15 м. от секущей задвижке № 42, в сторону К.25",Нижневартовский,77.215,61.485556,земли лесного фонда,0.0111,Отбор проб не производился,-,2012-04-22 00:00:00
10695,подтоварная вода,РН-КЮ-2013-8,На вантузной задвижке № 41,Нижневартовский,77.198889,61.485556,"земли промышленности, земли лесного фонда",0.0005,Отбор проб не производился,-,2013-07-25 00:00:00
10696,подтоварная вода,РН-КЮ-2013-9,водовод узел 10 - узел 13,Нижневартовский,77.264722,61.477778,"земли промышленности, земли лесного фонда",0.09,Отбор проб не производился,-,2013-12-14 00:00:00
10697,подтоварная вода,РН-КЮ-2014-4,район к.7 м-ч м/р узел 10 - узел- 13,Нижневартовский,77.258178,61.467113,земли лесного фонда в долгосрочной аренде,0.088,Отбор проб не производился,-,2014-01-13 00:00:00
10698,подтоварная вода,РН-КЮ-2014-5,70 м от узла № 11 в сторону КНС,Нижневартовский,77.256711,61.465307,земли промышленности,0.006,Отбор проб не производился,-,2014-04-26 00:00:00
10699,подтоварная вода,РН-КЮ-2014-6,в 1 м от т. вр. к.7,Нижневартовский,77.263501,61.479242,земли лесного фонда в долгосрочной аренде,0.0134,Отбор проб не производился,-,2014-07-09 00:00:00
10700,нефтесодержащая жидкость,РН-КЮ-2017-4,"линейный нефтесбор куст 9 Г точка врезки в нефтесбор куста 7, в 200 метрах от точки врезки куста 9 Г, Малочерногорское месторождение, ЦДНГ-8, ДНС-1",Нижневартовский,77.245572,61.444642,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0088,Отбор проб не производился,-,12.10.2017;  10:10
10701,нефтесодержащая жидкость,РН-КЮ-2018-3,"линейный нефтесбор кустовая площадка 9Г - точка врезки кустовая площадка 7, в 400 м от кустовой площадки 9Г, Малочернрогорское месторождение, ЦДНГ-8, ДНС-1 (КЮН)",Нижневартовский,77.247319,61.443891,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.01,Отбор проб не производился,-,2018-04-29 00:00:00
10702,нефтесодержащая жидкость,РН-КЮ-2018-4,"линейный нефтесбор кустовая площадка 15 - точка врезки кустовой площадки 14, в 400 м от кустовой площадки 15, Малочерногорское месторождение, ЦДНГ-8, ДНС-1 ",Нижневартовский,77.16325,61.505904,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0192,Отбор проб не производился,-,2018-06-06 00:00:00
10703,нефтесодержащая жидкость,РН-КЮ-2018-6,"линейный нефтесбор кустовая площадка Р1110 - ГЗУ кустовой площадки 31, в 2 м от секущей задвижки № 135, Малочерногорское месторождение, ЦДНГ-8, ДНС-1",Нижневартовский,77.295591,61.461335,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0356,Отбор проб не производился,-,2018-09-07 00:00:00
10704,нефтесодержащая жидкость,РН-КЮ-2018-7,"линейный нефтесбор кустовая площадка 9Г - точка врезки кустовой площадки 7, в 150 м от кустовой площадки 9Г, Малочерногорское месторождение, ЦДНГ-8, ДНС-1",Нижневартовский,77.248421,61.44361,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0108,Отбор проб не производился,-,2018-09-10 00:00:00
10705,нефтесодержащая жидкость,РН-КЮ-2018-9,"линейный нефтесбор кустовая площадка 9Г - точка врезки кустовой площадки 7, в 300 м от кустовой площадки 9Г, Малочерногорское месторождение, ЦДНГ-8, ДНС-1. Частичное наложение на участок КЮН/ЦДНГ-8/4/17–з от 12.10.2017 линейный нефтесбор куст 9 Г точка врезки в нефтесбор куста 7, в 200 метрах от точки врезки куста 9 Г, Малочерногорское месторождение, ЦДНГ-8, ДНС-1",Нижневартовский,77.245619,61.44457,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0271,Отбор проб не производился,-,01.10.2018     23.04.2020   04.10.2020
10706,нефтесодержащая жидкость,РН-КЮ-2018-10,"линейный нефтесбор кустовая площадка 30 - точка врезки в нефтесбор кустовой площадки 10, в 40 м от кустовой площадки 30, Малочерногорское месторождение, ЦДНГ-8, ДНС- Малочерногорское. Частичное наложение на участок СНГ/ЦДНГ-8/1/17–з от 17.07.2017 линейный нефтесбор куст  30 точка врезки куста 10, в 30 м перед секущей задвижкой 61, Малочерногорское месторождение, ЦДНГ-8, ДНС-1",Нижневартовский,77.229246,61.462305,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.2521,Отбор проб не производился,-,2018-10-03 00:00:00
10707,нефтесодержащая жидкость,РН-КЮ-2018-11,"линейный нефтесбор кустовая площадка 30 до точки врезки в коллектор куста 10, в 40 м от кустовой площадки 30, Малочерногорское месторождение, ЦДНГ-8, ДНС- Малочерногорское. Частичное наложение на участок КЮН/ЦДНГ-8/1/17–з от 17.07.2017 линейный нефтесбор куст  30 точка врезки куста 10, в 30 м перед секущей задвижкой 61, Малочерногорское месторождение, ЦДНГ-8, ДНС-1",Нижневартовский,77.22923,61.462338,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.1956,Отбор проб не производился,-,2018-10-15 00:00:00
10708,нефтесодержащая жидкость,РН-КЮ-2018-12,"линейный нефтесбор кустовая площадка 9Г - точка врезки в нефтесбор кустовой площадки 7, в 100 м от кустовой площадки 9Г, Малочерногорское месторождение, ЦДНГ-8, район ДНС- 1",Нижневартовский,77.250664,61.443173,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0437,Отбор проб не производился,-,2018-11-18 00:00:00
10709,нефть,РН-КЮ-2019-1,"линейный нефтесбор кустовая площадка 4Б - точка врезки кустовой площадки 1, в 100 м от точки врезки кустовой площадки 4А,Б Малочерногорское месторождение, ЦДНГ-8, ДНС-1(КЮН)",Нижневартовский,77.167181,61.489081,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.1083,Отбор проб не производился,-,2019-01-29 00:00:00
10710,нефть,РН-КЮ-2019-2,"линейный нефтесбор кустовой площадки 15, в 100 м от кустовой площадки 15, Малочерногорское месторождение, ЦДНГ-8, ДНС-1(КЮН).  ",Нижневартовский,77.159914,61.507117,"земли лесного фонда в долгосрочной аренде, земли лесного фонда",0.0547,Отбор проб не производился,-,2019-02-22 00:00:00
10711,нефть,РН-КЮ-2019-3,"линейный нефтесбор кустовая площадка 3 - точка врезки в основной, 60 м от АГЗУ кустовой площадки 3,  Малочерногорское месторождение, ЦДНГ-8, ДНС-1(КЮН). Частичное наложение на участок КЮН/ЦДНГ-8/10/18 –з от 29.12.2018 линейный нефтесбор кустовая площадка 3 - точка врезки в основной нефтесбор, в 20м от кустовой площадки 3, Малочерногорское месторождение, ЦДНГ-8, ДНС- 1",Нижневартовский,77.184591,61.47843,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0058,Отбор проб не производился,-,2019-02-06 00:00:00
10712,нефть,РН-КЮ-2019-4,"Линейный нефтесбор кустовая площадка 9Г - врезка в нефтесбор кустовой площадки 7, в 30 м от точки врезки кустовой площадки 9Г, Малочерногорское месторождение, ЦДНГ-8, ДНС Малочерногорская",Нижневартовский,77.24628,61.446788,"земли лесного фонда в долгосрочной аренде, земли лесного фонда, земли промышленности",0.2406,Отбор проб не производился,-,2019-03-27 00:00:00
10713,нефть,РН-КЮ-2019-5,"Линейный нефтесбор кустовая площадка 15 - точка врезки кустовой площадки 14, район ДНС-1, Малочерногорское месторождение, ЦДНГ-8",Нижневартовский,77.162882,61.502801,земли лесного фонда в долгосрочной аренде,0.0167,Отбор проб не производился,-,2019-04-20 00:00:00
10714,нефть,РН-КЮ-2019-6,"Линейный нефтесбор кустовая площадка 25 - точка врезки в основной, 50 м до точки врезки кустовой площадки 25, Малочерногорское месторождение, ЦДНГ-8, ДНС-Малочерногорское",Нижневартовский,77.215656,61.484421,"земли лесного фонда в долгосрочной аренде, земли промышленности, земли лесного фонда",0.0957,Отбор проб не производился,-,2019-07-22 00:00:00
10715,нефть,РН-КЮ-2019-7,"Линейный нефтесбор кустовая площадка 7 (а,б,в,г) - точка врезки в основной, в 1,5 м до задвижки №70, Малочерногорское месторождение, ЦДНГ-8, ДНС-Малочерногорское",Нижневартовский,77.263622,61.47896,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0756,Отбор проб не производился,-,2019-07-23 00:00:00
10716,нефть,РН-КЮ-2019-8,"линейный нефтесбор кустовая площадка 4В – точка врезки кустовой площадки 1, в 10 м до секущей задвижки  № 12/1, Мало-Черногорское месторождение, ЦДНГ-8, ДНС-1 ",Нижневартовский,77.168649,61.48914,земли промышленности,0.0056,Отбор проб не производился,-,2019-08-24 00:00:00
10717,нефть,РН-КЮ-2019-9,"линейный нефтесбор кустовая площадка 12 – точка врезки кустовой площадки 3, в 200 м до точки врезки кустовой площадки  № 12, Мало-Черногорское месторождение, ЦДНГ-8, ДНС-1 ",Нижневартовский,77.191173,61.476171,"земли промышленности, земли лесного фонда",0.244,Отбор проб не производился,-,27.09.2019          27.08.2020
10718,нефть,РН-КЮ-2019-10,"линейный нефтесбор кустовой площадки 1 АБ - точка врезки кустовой площадки 1, инцидент в 80 м от АГЗУ кустовой площадки 1 А, Малочерногорского месторождения, ЦДНГ-8, ДНС-1",Нижневартовский,77.169251,61.49607,"земли промышленности, земли лесного фонда",0.0171,Отбор проб не производился,-,2019-10-09 00:00:00
10719,нефть,РН-КЮ-2019-11,"линейный нефтесбор кустовая площадка 15 - точка врезки кустовой площадки 14, инцидент в 6 м до секущей задвижки № 4, район куста 15, Малочерногорское месторождение, ЦДНГ-8. Частичное наложение КЮН/ЦДНГ-8/9/19-3 от 26.10.2019 г.",Нижневартовский,77.161519,61.49885,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0333,Отбор проб не производился,-,2019-11-08 00:00:00
10720,нефть,РН-КЮ-2019-12,"линейный нефтесбор кустовая площадка 9Г – точка врезки кустовой площадки 7, инцидент в 120 м до секущей задвижки № 81, район куста 9а, Малочерногорское месторождение, ЦДНГ-8, ДНС-1 (КЮН)",Нижневартовский,77.245895,61.44563,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0076,Отбор проб не производился,-,2019-11-10 00:00:00
10721,нефть,РН-КЮ-2019-13,"линейный нефтесбор кустовая площадка 5 – точка врезки в основной, инцидент в 1 м от секущей задвижки № 63, Малочерногорское месторождение, ЦДНГ-8",Нижневартовский,77.228786,61.484696,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.0458,Отбор проб не производился,-,2019-12-29 00:00:00
10722,нефть,РН-КЮ-2020-1,"линейный нефтесбор кустовая площадка 22 – точка врезки кустовой площадки 10, в 300 м от точки врезки кустовой площадки 22, Малочерногорское месторождение, ЦДНГ-8, ДНС-1(КЮН)",Нижневартовский,77.2084,61.466901,земли промышленности,0.0025,Отбор проб не производился,-,2020-04-05 00:00:00
10723,нефть,РН-КЮ-2020-2,"линейный нефтесбор кустовая площадка 9Г – точка врезки в нефтесбор кустовой площадки 7, в 830 м от секущей задвижки № 81, Малочерногорское месторождение, ЦДНГ-8, ДНС-1(КЮН)",Нижневартовский,77.2502,61.45471,"земли лесного фонда в долгосрочной аренде, земли промышленности",0.1476,Отбор проб не производился,-,2020-04-19 00:00:00
